das Jahrhundert;wiek|stulecie
das Halbe;pół
der Sterbliche;śmiertelnik
das Vorkommen;występowanie
doch|aber;ale
nur;tylko
der Held;bohater
selbst;nawet
der Comicheld;komiksowy bohater|bohater komiksowy
das Glück;szczęście
die Runzel;zmarszczka
die Zeit;czas
sonderbarerweise;co dziwne
völlig;całkowicie|zupełnie
das Phänomen;fenomen
auch;też
noch;wciąż
dabei|also;przy tym|więc
die Langlebigkeit;długowieczność
ausschließlich;wyłącznie
verdanken;zawdzięczać
denn;bo
allein;jedynie
entscheidet;decyduje
das Fortbestehen;istnienie|przetrwanie
wehe;biada
jener;ten|tamten
die Gunst;przychylność
ausnahmsweise;wyjątkowo
der Gefährte;towarzysz
die Last;ciężar
alle;wszyscy
angenommen;przypuszczalny|przypuszczając|przyjmując|zakładając
die Zeile;wers
wie;jak
der Dorfbewohner;wieśniak
das Dorf;wioska|wieś
der Bewohner;mieszkaniec
jenes;tamtego|tego
aufhören;przestać
der Eroberer;zdobywca
der Widerstand;opór
