der Junge;chłopiec
das Mädchen;dziewczyna
klein;mały|niski
groß;duży|wysoki
schön;ładny
der Beruf;zawód|praca
der Arzt;lekarz
die Haare;włosy
der Lehrer;nauczyciel
gutaussehend;przystojny
hören;słyszeć
angehören|gehören zu;należeć do
treffen;spotkać|trafiać
derselben;ta sama|ten sam
Von Zeit zu Zeit;od czasu do czasu
wir streiten uns;kłucimy się
dunkel;ciemny
lustig;śmieszny|zabawny
wichtig;ważne
wenig;mało
verantwortungsvoll;odpowiedzialny
antwort;odpowiedź
bedeutet; oznacza
das gleiche; to samo
