1 język;2 język;Liczba powtórzeń
das Fortbestehen;istnienie, przetrwanie;27
das Vorkommen;występowanie;21
ausnahmsweise;wyjątkowo;19
die Langlebigkeit;długowieczność;17
sonderbarerweise;co dziwne;16
ausschließlich;wyłącznie;15
der Widerstand;opór;13
der Sterbliche;śmiertelnik;11
allein;jedynie;10
selbst;nawet;9
die Gunst;przychylność;8
jenes;tamtego, tego;8
aufhören;przestać;7
die Last;ciężar;7
angenommen;przypuśćmy;5
der Comicheld;komiksowy bohater;5
der Gefährte;towarzysz;5
die Runzel;zmarszczka;5
jener;tamten;5
völlig;całkowicie;5
der Eroberer;zdobywca;4
die Zeile;wers;4
dabei;przy tym, więc;3
das Dorf;wioska;3
das Halbe;pół;3
das Jahrhundert;wiek;3
entscheidet;decyduje;3
noch;wciąż;3
nur;tylko;3
auch;też;2
das Glück;szczęście;2
das Phänomen;fenomen;2
denn;bo;2
der Bewohner;mieszkaniec;2
der Held;bohater;2
wehe;biada;2
alle;wszyscy;1
der Dorfbewohner;wieśniak;1
die Zeit;czas;1
doch;ale;1
verdanken;zawdzięczać;1
