model;klasa;counts
Opel Astra;C;342
Opel Mokka;SB;208
Ford Focus;C;196
Nissan Qashqai;SC;139
Ford C-MAX;MC;125
Ford Fiesta;B;123
Renault Megane;C;123
Skoda Fabia;B;119
Hyundai I30;C;118
Peugeot 200;SB;116
Hyundai ix35;SC;112
Renault Clio;B;104
Toyota Corolla;C;103
Nissan Juke;SB;101
Volkswagen Golf;C;99
Kia Ceed;C;92
Opel Corsa;B;82
Kia Sportage;SC;78
Toyota Yaris;B;77
Peugeot 30;C;74
Citroën C4;C;73
Hyundai i20;B;68
Peugeot 20;B;68
Renault Captur;SB;65
Seat Leon;C;63
Skoda Octavia;C;61
Honda Civic;C;61
Citroën C3;B;57
Citroën C4 SpaceTourer;MC;55
Renault Scenic;MC;55
Seat Ibiza;B;53
Mitsubishi ASX;SC;52
Dacia Duster;SC;52
Opel Meriva;MB;52
Skoda Scala;C;51
Dacia Sandero;B;50
Suzuki SX4;SB;50
Mazda 3;C;49
Volkswagen Polo;B;47
Fiat 500;B;44
Kia Rio;B;43
Ford B-MAX;X;39
Ford Mondeo;D;39
Opel Zafira;MC;38
Ford EcoSport;X;36
Ford Kuga;SC;34
Opel Crossland;SB;33
Volkswagen up!;A;33
Hyundai ix20;X;33
Opel Insignia;D;31
Renault Kadjar;SC;30
Fiat Tipo;D;30
Hyundai i10;X;30
Audi A3;C;29
Opel Adam;X;29
BMW Seria1;C;28
Volkswagen Tiguan;SC;28
Suzuki Swift;B;26
Toyota Verso;X;23
MINI Cooper;B;23
Alfa-Romeo Giulietta;X;22
Kia Picanto;X;21
Nissan Note;X;21
Fiat 500L;X;21
Citroën DS3;X;20
Peugeot 300;SC;20
MINI Countryman;SB;19
Mercedes-Benz KlasaB;MC;19
Toyota Aygo;A;19
Chevrolet Trax;X;19
Toyota Avensis;D;18
Citroën C3 Aircross;X;18
Audi A4;D;17
Mazda 6;D;17
Peugeot 50;X;17
Kia Venga;X;17
Skoda Yeti;X;17
Honda Jazz;MB;16
Volkswagen Golf Sportsvan;MC;16
Suzuki Vitara;SB;16
Chevrolet Cruze;X;16
Hyundai i40;X;15
Citroën Berlingo;X;15
Nissan Pulsar;X;15
Mercedes-Benz KlasaA;C;14
Mazda 2;X;14
Volkswagen Jetta;X;14
Volvo V40;X;14
Dacia Lodgy;X;14
Fiat 500X;X;13
Skoda Citigo;X;13
Nissan Micra;B;12
Audi A1;X;12
Citroën DS4;X;12
Volkswagen CC;X;12
Volkswagen Passat;D;12
Ford Tourneo;X;12
Kia Soul;X;11
Suzuki Baleno;X;11
Jeep Renegade;X;10
BMW Seria3;C;10
Hyundai Kona;SB;9
Mazda CX-3;SB;9
Fiat Panda;X;9
Ford Focus Turnier;X;9
Kia Carens;X;9
Dacia Dokker;X;8
Renault Twingo;X;8
Hyundai Elantra;X;8
Volvo S60;D;8
Citroën C-Elysée;X;7
Kia Stonic;SB;7
Mitsubishi Outlander;X;7
BMW Seria2;MC;7
Citroën C3 SpaceTourer;X;7
Dacia Logan;X;7
Mazda CX-5;SD;6
Volkswagen Touran;X;6
Volkswagen NewBeetle;X;6
Hyundai Tucson;SC;6
Fiat Doblo;X;5
Fiat Bravo;X;5
Opel Cascada;X;5
Seat Altea;X;5
Mercedes-Benz KlasaC;D;5
Fiat Sedici;X;5
Kia ProCeed;X;5
Audi A5;D;5
Skoda Superb;D;5
Peugeot 301;X;4
Opel Grandland;SC;4
BMW X1;SC;4
Seat Mii;X;4
Citroën C4 Aircross;X;4
Honda CR-V;SC;4
Mitsubishi SpaceStar;X;4
Mitsubishi Lancer;X;4
Alfa-Romeo Mito;X;4
MINI Paceman;X;4
Subaru XV;X;4
Suzuki Jimny;X;4
Chevrolet Orlando;X;4
Peugeot Partner;X;4
Seat Toledo;X;3
Skoda Roomster;X;3
Volkswagen Golf Cabriolet;X;3
Peugeot RCZ;X;3
Fiat Fiorino;X;3
Fiat Punto;C;3
Hyundai Veloster;X;3
Ford Fusion;X;3
Volkswagen Scirocco;X;3
Peugeot 500;X;2
Chevrolet Malibu;X;2
Volvo S90;X;2
MINI Clubman;X;2
Toyota RAV4;SD;2
Hyundai Sonata;X;2
Volkswagen Sharan;X;2
Honda HR-V;X;2
Honda Accord;X;2
Ford Transit;X;2
Opel Antara;X;2
Ford S-Max;X;2
Volkswagen Caddy;X;2
Audi Q5;SD;2
Peugeot 10;X;2
Renault Koleos;X;2
Citroën DS5;X;2
Audi Q3;SC;2
Opel Karl;X;2
Seat Arona;SB;2
Seat Exeo;X;2
Ford KA;X;2
Ford Escape;X;2
Toyota iQ;X;1
BMW Seria5;D;1
Volvo C70;X;1
BMW X3;X;1
Audi A6;E;1
Kia Optima;X;1
Chevrolet Aveo;X;1
Chevrolet Captiva;X;1
Jeep Patriot;X;1
Jeep Compass;X;1
MINI Cooper Roadster;X;1
Mercedes-Benz CLA;C;1
Mercedes-Benz GLA;SC;1
Hyundai Genesis;X;1
Mercedes-Benz KlasaE;E;1
Nissan Murano;X;1
Nissan NV200;X;1
Nissan Sentra;X;1
Ford Taurus;X;1
Opel Combo;X;1
Fiat Freemont;X;1
Renault Kangoo;X;1
Renault Laguna;D;1
Seat Alhambra;X;1
Citroën DS3 Cabrio;X;1
Citroën C1;X;1
Subaru Forester;X;1
Suzuki Alto;X;1
Suzuki Ignis;X;1
Mazda 5;X;1
